pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-04-03,0,,,,,,
1000.0,13.8,-75.5,2020-04-04,0,,,,,,
1000.0,13.8,-75.5,2020-04-05,0,,,,,,
1000.0,13.8,-75.5,2020-04-06,0,,,,,,
1000.0,13.8,-75.5,2020-04-07,0,,,,,,
1000.0,13.8,-75.5,2020-04-08,0,,,,,,
1000.0,13.8,-75.5,2020-04-09,0,,,,,,
1000.0,13.8,-75.5,2020-04-10,0,,,,,,
1000.0,13.8,-75.5,2020-04-11,0,,,,,,
1000.0,13.8,-75.5,2020-04-12,0,,,,,,
1000.0,13.8,-75.5,2020-04-13,0,,,,,,
1000.0,13.8,-75.5,2020-04-14,0,,,,,,
1000.0,13.8,-75.5,2020-04-15,0,,,,,,
1000.0,13.8,-75.5,2020-04-16,0,,,,,,
1000.0,13.8,-75.5,2020-04-17,0,,,,,,
1000.0,13.8,-75.5,2020-04-18,0,,,,,,
1000.0,13.8,-75.5,2020-04-19,0,,,,,,
1000.0,13.8,-75.5,2020-04-20,0,,,,,,
1000.0,13.8,-75.5,2020-04-21,0,,,,,,
1000.0,13.8,-75.5,2020-04-22,0,,,,,,
1000.0,13.8,-75.5,2020-04-23,0,,,,,,
1000.0,13.8,-75.5,2020-04-24,0,,,,,,
1000.0,13.8,-75.5,2020-04-25,0,,,,,,
1000.0,13.8,-75.5,2020-04-26,0,,,,,,
1000.0,13.8,-75.5,2020-04-27,0,,,,,,
1000.0,13.8,-75.5,2020-04-28,0,,,,,,
1000.0,13.8,-75.5,2020-04-29,0,,,,,,
1000.0,13.8,-75.5,2020-04-30,0,,,,,,
1000.0,13.8,-75.5,2020-05-01,0,,,,,,
1000.0,13.8,-75.5,2020-05-02,0,,,,,,
1000.0,13.8,-75.5,2020-05-03,0,,,,,,
1000.0,13.8,-75.5,2020-05-04,0,,,,,,
1000.0,13.8,-75.5,2020-05-05,0,,,,,,
1000.0,13.8,-75.5,2020-05-06,0,,,,,,
