valid_time,r,crwc,t,u,v,wind_speed,month,day_of_week,Temperature,Precipitation_mm,Relative_Humidity_%,Wind_Speed,Wind_Direction,Cloud_Cover_%
2022-03-02,1.4279566471352751,9.2433027e-07,-0.7997006502822332,-0.1632926902853202,-1.270033424035188,1.2804879542061929,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.1016438332452567,8.005405e-07,-0.6669026616322236,0.22206204991141,-1.5564528360026657,1.5722140390899702,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.410130140493835,7.611126e-07,-0.8085012248629515,-0.1489009920712906,-1.4825813260570695,1.490039896718525,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.7176545127587367,6.794875e-07,-0.8064553068571628,0.10342436334282,-1.4089156273452743,1.4127065668108842,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.1061231151636193,5.630431e-07,-0.8069689185103063,0.0578238198564267,-1.9785752175005031,1.979419987130056,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.6086915698139062,1.2842507e-06,-0.8829104762064556,-0.2903452930134494,-1.2419884285999374,1.2754746747588552,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,2.025372086629021,6.634424e-07,-0.9554614388934756,-0.3267733133847637,-1.5850505958080825,1.6183838202391958,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.6991103214399083,6.198829e-07,-0.775704941276857,0.155024630312711,-1.5444524196796137,1.5522132304093423,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.3329775362424148,5.547799e-07,-0.7959158441149697,-0.0851085701307517,-2.291154212604451,2.292734414328189,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.7554385677184914,8.4638236e-07,-0.8333630612686499,-0.1756959064028271,-2.210434338513301,2.2174059205308905,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.8236426349882704,7.9136714e-07,-0.8915679597177566,-0.246703407765871,-1.8837389167495284,1.8998249598002392,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.090604310089426,6.6344575e-07,-0.8083372860880548,-0.0236654854700488,-1.2368871924771483,1.2371135688030162,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.4163911135162208,7.8081814e-07,-0.7972595734953366,-0.1987350389068549,-1.7497087148293584,1.7609588872086464,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.0648607505110437,6.3685377e-07,-0.8395965252066246,0.0965481423216972,-1.688058031184938,1.690816802741722,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.5827640260683462,1.014654e-06,-0.7636606532483321,0.0997065023479633,-1.0837556828727364,1.0883325625788358,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.565898736436239,5.914642e-07,-0.7337925246589414,0.1911580557456666,-1.653403842521772,1.6644175163528605,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.596945564022843,7.482711e-07,-0.8184645328355662,-0.1369899370807619,-2.4975259760651314,2.5012801210543127,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.3998047900202233,6.098029e-07,-0.835844885843528,-0.1057566659339857,-1.7182072337168708,1.72145884946067,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.2034469543027995,5.7495896e-07,-0.6624867385627583,0.1871146963580841,-1.4192857677224648,1.4315669736525511,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.060071181220535,5.804595e-07,-0.7984848500036645,0.0144620899418907,-1.3921463292914753,1.392221445821467,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.5448266421207968,9.165349e-07,-0.8422479742942564,-0.2499994163661754,-1.4958301524478737,1.516577579009942,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.9786154717695598,5.4882145e-07,-0.8231363141086278,0.144405852523153,-1.8100715407351944,1.8158226876053785,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.3574478811630084,5.0847456e-07,-0.8256778389310123,-0.0529058211840828,-1.9312088150144688,1.9319333614555003,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
