valid_time,pressure_level,latitude,longitude,number,cc,r,crwc,t,u,v
2022-10-12,1000.0,13.05,-75.0,0.0,0.0,75.95656382857143,7.91852518e-07,27.80308497142857,-11.935413471428571,-2.569235034285714
2022-10-13,1000.0,13.05,-75.0,0.0,0.0,75.95656382857143,7.91852518e-07,27.80308497142857,-11.935413471428571,-2.569235034285714
2022-10-14,1000.0,13.05,-75.0,0.0,0.0,86.07309085714286,2.745322377142857e-06,25.413920085714285,-4.694462717142857,1.430843465714286
2022-10-15,1000.0,13.05,-75.0,0.0,0.0,86.07309085714286,2.745322377142857e-06,25.413920085714285,-4.694462717142857,1.430843465714286
2022-10-16,1000.0,13.05,-75.0,0.0,0.0,76.34378788571429,7.235214153371428e-07,27.389206828571428,-9.073048100000001,-2.4419930714285716
2022-10-17,1000.0,13.05,-75.0,0.0,0.0,77.83449345714286,6.658955136571429e-07,27.221707085714286,-7.325737057142858,-1.96941592
2022-10-18,1000.0,13.05,-75.0,0.0,0.0,77.83449345714286,6.658955136571429e-07,27.221707085714286,-7.325737057142858,-1.96941592
2022-10-19,1000.0,13.05,-75.0,0.0,0.0,82.81537451428572,7.63542044e-07,26.57737202857143,-7.207927002857143,-0.3464843998857143
2022-10-20,1000.0,13.05,-75.0,0.0,0.0,82.81537451428572,7.63542044e-07,26.57737202857143,-7.207927002857143,-0.3464843998857143
2022-10-21,1000.0,13.05,-75.0,0.0,0.0,82.59257714285715,1.5793669848571427e-06,26.726428542857143,-7.4111497942857145,-0.4806520602857143
2022-10-22,1000.0,13.05,-75.0,0.0,0.0,82.59257714285715,1.5793669848571427e-06,26.726428542857143,-7.4111497942857145,-0.4806520602857143
2022-10-23,1000.0,13.05,-75.0,0.0,0.0,82.38828671428571,2.152630365714286e-06,26.423096114285713,-7.4445814057142865,-1.103710206
2022-10-24,1000.0,13.05,-75.0,0.0,0.0,82.38828671428571,2.152630365714286e-06,26.423096114285713,-7.4445814057142865,-1.103710206
2022-10-25,1000.0,13.05,-75.0,0.0,0.0,84.99151988571428,4.9752913114285715e-06,25.67021122857143,-3.4656564628571425,-2.1149104854285716
2022-10-26,1000.0,13.05,-75.0,0.0,0.0,84.99151988571428,4.9752913114285715e-06,25.67021122857143,-3.4656564628571425,-2.1149104854285716
2022-10-27,1000.0,13.05,-75.0,0.0,0.0,72.22247942857143,6.942975205714287e-10,27.060683085714288,-3.019090762857143,-3.4585266257142857
2022-10-28,1000.0,13.05,-75.0,0.0,0.0,72.22247942857143,6.942975205714287e-10,27.060683085714288,-3.019090762857143,-3.4585266257142857
2022-10-29,1000.0,13.05,-75.0,0.0,0.0,70.43377728571429,8.517552591028572e-08,26.94188977142857,2.023474617142857,-2.1931873971428573
2022-10-30,1000.0,13.05,-75.0,0.0,0.0,70.43377728571429,8.517552591028572e-08,26.94188977142857,2.023474617142857,-2.1931873971428573
2022-10-31,1000.0,13.05,-75.0,0.0,0.0,76.63055134285715,4.903940475428572e-06,26.717348857142856,-0.46389526640000006,1.8680736018000001
2022-11-01,1000.0,13.05,-75.0,0.0,0.0,79.12603437142857,1.541219829142857e-06,26.565152485714286,-7.46545754,0.41854196377142855
2022-11-02,1000.0,13.05,-75.0,0.0,0.0,77.57922971428572,1.2984213885714288e-06,27.473882800000002,-12.116975585714284,-1.7461566285714285
2022-11-03,1000.0,13.05,-75.0,0.0,0.0,77.57922971428572,1.2984213885714288e-06,27.473882800000002,-12.116975585714284,-1.7461566285714285
